id,code,name,source,name@ro
unece_j18,J18,degree Brix,rec20,grad Brix
unece_j19,J19,degree Fahrenheit hour square foot per British thermal unit (thermochemical),rec20,grade Fahrenheit oră picior pătrat per unitate termică britanică (termochimică)
unece_j2,J2,joule per kilogram,rec20,joule pe kilogram
unece_j20,J20,degree Fahrenheit per kelvin,rec20,grad Fahrenheit pe kelvin
unece_j21,J21,degree Fahrenheit per bar,rec20,grade Fahrenheit pe bar
unece_j22,J22,degree Fahrenheit hour square foot per British thermal unit (international table),rec20,grade Fahrenheit oră picior pătrat per unitate termică britanică (tabel internațional)
unece_j23,J23,degree Fahrenheit per hour,rec20,grade Fahrenheit pe oră
unece_j24,J24,degree Fahrenheit per minute,rec20,grade Fahrenheit pe minut
unece_j25,J25,degree Fahrenheit per second,rec20,grade Fahrenheit pe secundă
unece_j26,J26,reciprocal degree Fahrenheit,rec20,grad reciproc Fahrenheit
unece_j27,J27,degree Oechsle,rec20,grad Oechsle
unece_j28,J28,degree Rankine per hour,rec20,grad Rankine pe oră
unece_j29,J29,degree Rankine per minute,rec20,grad Rankine pe minut
unece_j30,J30,degree Rankine per second,rec20,grad Rankine pe secundă
unece_j31,J31,degree Twaddell,rec20,grad Twaddell
unece_j32,J32,micropoise,rec20,micropoise
unece_j33,J33,microgram per kilogram,rec20,microgram pe kilogram
unece_j34,J34,microgram per cubic metre kelvin,rec20,microgram pe metru cub kelvin
unece_j35,J35,microgram per cubic metre bar,rec20,microgram pe bar metru cub
unece_j36,J36,microlitre per litre,rec20,microlitru pe litru
unece_j38,J38,baud,rec20,baud
unece_j39,J39,British thermal unit (mean),rec20,unitate termică britanică (medie)
unece_j40,J40,British thermal unit (international table) foot per hour square foot degree Fahrenheit,rec20,Unitate termică britanică (masă internațională) picior pe oră grad Fahrenheit de picior pătrat
unece_j41,J41,British thermal unit (international table) inch per hour square foot degree Fahrenheit,rec20,Unitate termică britanică (masă internațională) inchi pe oră grade Fahrenheit de picior pătrat
unece_j42,J42,British thermal unit (international table) inch per second square foot degree Fahrenheit,rec20,Unitate termică britanică (masă internațională) inchi pe secundă grade Fahrenheit de picior pătrat
unece_j43,J43,British thermal unit (international table) per pound degree Fahrenheit,rec20,Unitate termică britanică (tabel internațional) per liră grad Fahrenheit
unece_j44,J44,British thermal unit (international table) per minute,rec20,Unitate termică britanică (masă internațională) pe minut
unece_j45,J45,British thermal unit (international table) per second,rec20,Unitate termică britanică (tabel internațional) pe secundă
unece_j46,J46,British thermal unit (thermochemical) foot per hour square foot degree Fahrenheit,rec20,Unitate termică britanică (termochimică) picior pe oră grade Fahrenheit de picior pătrat
unece_j47,J47,British thermal unit (thermochemical) per hour,rec20,Unitate termică britanică (termochimică) pe oră
unece_j48,J48,British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit,rec20,Unitate termică britanică (termochimică) inchi pe oră grade Fahrenheit de picior pătrat
unece_j49,J49,British thermal unit (thermochemical) inch per second square foot degree Fahrenheit,rec20,Unitate termică britanică (termochimică) inchi pe secundă grade Fahrenheit picior pătrat
unece_j50,J50,British thermal unit (thermochemical) per pound degree Fahrenheit,rec20,Unitate termică britanică (termochimică) pe liră grad Fahrenheit
unece_j51,J51,British thermal unit (thermochemical) per minute,rec20,Unitate termică britanică (termochimică) pe minut
unece_j52,J52,British thermal unit (thermochemical) per second,rec20,Unitate termică britanică (termochimică) pe minut
unece_j53,J53,coulomb square metre per kilogram,rec20,coulomb metru pătrat pe kilogram
unece_j54,J54,megabaud,rec20,megabaud
unece_j55,J55,watt second,rec20,watt secundă
unece_j56,J56,bar per bar,rec20,bar pe bar
unece_j57,J57,barrel (UK petroleum),rec20,baril (petrol din Marea Britanie)
unece_j58,J58,barrel (UK petroleum) per minute,rec20,baril (petrol din Marea Britanie) pe minut
unece_j59,J59,barrel (UK petroleum) per day,rec20,baril (petrol din Marea Britanie) pe zi
unece_j60,J60,barrel (UK petroleum) per hour,rec20,baril (petrol din Marea Britanie) pe oră
unece_j61,J61,barrel (UK petroleum) per second,rec20,baril (petrol din Marea Britanie) pe secundă
unece_j62,J62,barrel (US petroleum) per hour,rec20,baril (petrol american) pe oră
unece_j63,J63,barrel (US petroleum) per second,rec20,baril (petrol american) pe secundă
unece_j64,J64,bushel (UK) per day,rec20,bushel (Marea Britanie) pe zi
unece_j65,J65,bushel (UK) per hour,rec20,bushel (Marea Britanie) pe oră
unece_j66,J66,bushel (UK) per minute,rec20,bushel (Marea Britanie) pe minut
unece_j67,J67,bushel (UK) per second,rec20,bushel (Marea Britanie) pe secundă
unece_j68,J68,bushel (US dry) per day,rec20,bushel (material uscat SUA) pe zi
unece_j69,J69,bushel (US dry) per hour,rec20,bushel (material uscat SUA) pe oră
unece_j70,J70,bushel (US dry) per minute,rec20,bushel (material uscat SUA) pe minut
unece_j71,J71,bushel (US dry) per second,rec20,bushel (material uscat SUA) pe secundă
unece_j72,J72,centinewton metre,rec20,centinewton metru
unece_j73,J73,centipoise per kelvin,rec20,centipoise pe kelvin
unece_j74,J74,centipoise per bar,rec20,centipoise pe bar
unece_j75,J75,calorie (mean),rec20,calorie (medie)
unece_j76,J76,calorie (international table) per gram degree Celsius,rec20,calorii (tabel internațional) pe gram grad Celsius
unece_j78,J78,calorie (thermochemical) per centimetre second degree Celsius,rec20,calorii (termochimic) pe centimetru gradul II Celsius
